type,char,frequency
no_gaiji,…,173640
no_gaiji,○,73895
no_gaiji,—,52396
no_gaiji,△,51674
no_gaiji,□,44087
no_gaiji,a,44041
no_gaiji,1,31209
no_gaiji,2,18188
no_gaiji,3,16298
no_gaiji,4,15545
no_gaiji,5,14426
no_gaiji,〇,13862
no_gaiji,t,13684
zzs,[薩-產+(辛/工)],13572
no_gaiji,ā,12862
no_gaiji,6,12051
no_gaiji,7,11376
no_gaiji,i,11294
no_gaiji,8,11265
no_gaiji,9,10658
no_gaiji,r,10655
no_gaiji,0,10460
no_gaiji,o,9961
no_gaiji,m,9734
no_gaiji,h,9553
no_gaiji,n,9141
no_gaiji,y,8376
no_gaiji,s,7676
no_gaiji,v,7649
no_gaiji,N,7118
no_gaiji,-,6691
no_gaiji,▲,6585
no_gaiji,d,6415
no_gaiji,u,6011
no_gaiji,e,5955
no_gaiji,k,5142
no_gaiji,p,4802
no_gaiji,〡,4728
zzs,[乞-乙+、],3688
zzs,[前-刖+合],3655
no_gaiji,ḥ,3653
no_gaiji,,,3632
no_gaiji,ㄟ,3548
no_gaiji,b,3498
no_gaiji,c,3418
no_gaiji,●,3143
no_gaiji,g,2779
no_gaiji,─,2732
no_gaiji,ś,2697
no_gaiji,～,2508
no_gaiji,ṣ,2291
no_gaiji,〃,2224
no_gaiji,々,2219
no_gaiji,j,2158
no_gaiji,ṁ,2015
no_gaiji,■,1942
no_gaiji,l,1883
no_gaiji,ṇ,1659
no_gaiji,A,1605
no_gaiji,ī,1465
zzs,[參-(彰-章)+三],1420
no_gaiji,ṛ,1161
no_gaiji,│,1156
no_gaiji,B,1011
zzs,[口*(肄-聿+(企-止+米))],976
no_gaiji,ū,902
zzs,[婬-壬+(工/山)],898
no_gaiji,ル,846
no_gaiji,※,798
no_gaiji,＝,783
zzs,[(共-八+隹)*見],769
no_gaiji,ñ,756
no_gaiji,§,738
zzs,[(冰-水+〡)*ㄆ],724
zzs,[(巨-匚)@十],702
no_gaiji,S,644
no_gaiji,ṅ,626
no_gaiji,ハ,619
no_gaiji,ナ,612
no_gaiji,C,601
no_gaiji,P,598
zzs,[口*履],586
no_gaiji,T,580
zzs,[(厂@((既-旡)-日+口))*頁],577
no_gaiji,',569
no_gaiji,D,566
no_gaiji,ト,553
no_gaiji,レ,551
zzs,[糸*系],547
no_gaiji,),537
no_gaiji,(,537
zzs,[□@考],528
no_gaiji,ṭ,516
no_gaiji,テ,502
no_gaiji,サ,486
no_gaiji,ẖ,480
no_gaiji,リ,469
no_gaiji,の,456
zzs,[│/○],455
no_gaiji,G,455
zzs,[這-言+(素-糸+ㄆ)],451
no_gaiji,◎,451
no_gaiji,f,449
zzs,[癹-几+口],448
no_gaiji,H,442
no_gaiji,ヘ,429
no_gaiji,◇,422
zzs,[糸*ㄉ],413
no_gaiji,に,385
zzs,[?(○/○)],381
no_gaiji,M,373
no_gaiji,K,373
zzs,[〦/力],363
no_gaiji,ア,361
no_gaiji,タ,360
no_gaiji,ス,350
no_gaiji,カ,347
zzs,[文*隹],333
zzs,[△@△],326
zzs,[煞-(烈-列)],321
zzs,[這-言+夌],313
zzs,[(口*皮)/女],312
zzs,[同-(一/口)+巳],300
no_gaiji,V,298
no_gaiji,ṃ,288
no_gaiji,R,287
no_gaiji,ラ,285
no_gaiji,を,284
no_gaiji,O,282
zzs,[此/束],282
no_gaiji,×,271
no_gaiji,└,269
zzs,[○@卍],268
no_gaiji,ン,266
no_gaiji,ḍ,266
zzs,[婁*殳],263
no_gaiji,I,259
no_gaiji,１,258
zzs,[完-兀+勿],258
zzs,[(留-田)-刀+ㄗ],252
no_gaiji,シ,252
no_gaiji,モ,250
no_gaiji,E,249
