type,char,frequency
no_gaiji,不,3294540
no_gaiji,無,2707958
no_gaiji,一,2508999
no_gaiji,是,2316382
no_gaiji,有,2284041
no_gaiji,之,2060846
no_gaiji,者,2026312
no_gaiji,如,1903804
no_gaiji,法,1854917
no_gaiji,為,1794717
no_gaiji,故,1736536
no_gaiji,二,1595227
no_gaiji,生,1558643
no_gaiji,三,1503478
no_gaiji,此,1486214
no_gaiji,佛,1426118
no_gaiji,所,1390731
no_gaiji,也,1371410
no_gaiji,以,1360294
no_gaiji,云,1342087
no_gaiji,人,1267717
no_gaiji,中,1178453
no_gaiji,於,1167963
no_gaiji,若,1153754
no_gaiji,大,1149370
no_gaiji,得,1148117
no_gaiji,心,1145712
no_gaiji,諸,1036150
no_gaiji,十,1027527
no_gaiji,說,1021924
no_gaiji,而,1012224
no_gaiji,相,1001997
no_gaiji,行,975894
no_gaiji,名,953560
no_gaiji,見,894109
no_gaiji,何,876805
no_gaiji,即,866892
no_gaiji,師,859459
no_gaiji,曰,855420
no_gaiji,四,850079
no_gaiji,非,848572
no_gaiji,言,845661
no_gaiji,等,835259
no_gaiji,上,819295
no_gaiji,時,805242
no_gaiji,道,795720
no_gaiji,來,782495
no_gaiji,自,780404
no_gaiji,其,779937
no_gaiji,明,775266
no_gaiji,知,763900
no_gaiji,世,717570
no_gaiji,亦,713688
no_gaiji,能,713176
no_gaiji,菩,711610
no_gaiji,作,692683
no_gaiji,眾,687562
no_gaiji,下,671184
no_gaiji,我,665269
no_gaiji,薩,648570
no_gaiji,經,646584
no_gaiji,身,635454
no_gaiji,五,635128
no_gaiji,切,624341
no_gaiji,子,604329
no_gaiji,善,596893
no_gaiji,謂,585249
no_gaiji,因,584122
no_gaiji,至,580972
no_gaiji,緣,571684
no_gaiji,處,566543
no_gaiji,第,565788
no_gaiji,智,562325
no_gaiji,天,556437
no_gaiji,成,554311
no_gaiji,可,548818
no_gaiji,應,546771
no_gaiji,在,538584
no_gaiji,界,537164
no_gaiji,性,532250
no_gaiji,彼,530946
no_gaiji,種,523853
no_gaiji,淨,521986
no_gaiji,出,521046
no_gaiji,分,517127
no_gaiji,義,516798
no_gaiji,地,515052
no_gaiji,問,507436
no_gaiji,前,502874
no_gaiji,今,502410
no_gaiji,羅,501307
no_gaiji,空,500641
no_gaiji,後,500379
no_gaiji,正,493710
no_gaiji,別,492970
no_gaiji,與,484463
no_gaiji,門,478942
no_gaiji,則,474385
no_gaiji,初,466186
no_gaiji,方,460781
no_gaiji,已,458721
no_gaiji,事,458477
no_gaiji,受,456884
no_gaiji,僧,447425
no_gaiji,皆,445597
no_gaiji,王,441530
no_gaiji,然,434299
no_gaiji,入,433092
no_gaiji,本,430758
no_gaiji,又,430361
no_gaiji,住,428110
no_gaiji,六,425583
no_gaiji,觀,425127
no_gaiji,意,424944
no_gaiji,當,423152
no_gaiji,同,416123
no_gaiji,文,414107
no_gaiji,多,409329
no_gaiji,山,402437
no_gaiji,未,394429
no_gaiji,色,394303
no_gaiji,修,393326
no_gaiji,依,392328
no_gaiji,解,392065
no_gaiji,日,390247
no_gaiji,復,387831
no_gaiji,起,386656
no_gaiji,識,384165
no_gaiji,現,379945
no_gaiji,釋,377767
no_gaiji,真,376574
no_gaiji,從,373430
no_gaiji,乃,373355
no_gaiji,聞,372877
no_gaiji,欲,369828
no_gaiji,及,358600
no_gaiji,論,354472
no_gaiji,念,352887
no_gaiji,八,345931
no_gaiji,滅,344685
no_gaiji,實,343230
no_gaiji,教,341649
no_gaiji,離,340409
no_gaiji,便,340283
no_gaiji,或,338801
no_gaiji,定,338522
no_gaiji,果,333400
no_gaiji,隨,331886
no_gaiji,常,330040
no_gaiji,通,329855
no_gaiji,德,328592
no_gaiji,根,323331
no_gaiji,七,319304
no_gaiji,次,310849
no_gaiji,尊,309383
no_gaiji,比,304590
no_gaiji,令,303005
no_gaiji,覺,298685
no_gaiji,由,294041
no_gaiji,清,289809
no_gaiji,業,288426
no_gaiji,去,287725
no_gaiji,提,287254
no_gaiji,禪,284310
no_gaiji,具,284262
no_gaiji,阿,283724
no_gaiji,異,283572
no_gaiji,難,283178
no_gaiji,戒,282480
no_gaiji,斷,282136
no_gaiji,用,282134
no_gaiji,他,279734
no_gaiji,樂,275384
no_gaiji,丘,272652
no_gaiji,語,271676
no_gaiji,合,269978
no_gaiji,持,268768
no_gaiji,體,267420
no_gaiji,苦,266773
no_gaiji,利,264330
no_gaiji,汝,261521
no_gaiji,光,260309
no_gaiji,間,257749
no_gaiji,摩,257018
no_gaiji,盡,255857
no_gaiji,過,255671
no_gaiji,理,254919
no_gaiji,聲,252563
no_gaiji,量,249602
no_gaiji,乘,248691
no_gaiji,慧,244910
no_gaiji,力,240075
no_gaiji,外,239699
no_gaiji,答,238401
no_gaiji,年,237794
no_gaiji,聖,236044
no_gaiji,餘,236027
no_gaiji,取,234036
no_gaiji,南,232868
no_gaiji,百,232771
no_gaiji,勝,232007
no_gaiji,長,229048
no_gaiji,句,228204
