type,char,char_freq
std,不,3294540
std,無,2707958
std,一,2508999
std,是,2316382
std,有,2284041
std,之,2060846
std,者,2026312
std,如,1903804
std,法,1854917
std,為,1794717
std,故,1736536
std,二,1595227
std,生,1558643
std,三,1503478
std,此,1486214
std,佛,1426118
std,所,1390731
std,也,1371410
std,以,1360294
std,云,1342087
std,人,1267717
std,中,1178453
std,於,1167963
std,若,1153754
std,大,1149370
std,得,1148117
std,心,1145712
std,諸,1036150
std,十,1027527
std,說,1021924
std,而,1012224
std,相,1001997
std,行,975894
std,名,953560
std,見,894109
std,何,876805
std,即,866892
std,師,859459
std,曰,855420
std,四,850079
std,非,848572
std,言,845661
std,等,835259
std,上,819295
std,時,805242
std,道,795720
std,來,782495
std,自,780404
std,其,779937
std,明,775266
std,知,763900
std,世,717570
std,亦,713688
std,能,713176
std,菩,711610
std,作,692683
std,眾,687562
std,下,671184
std,我,665269
std,薩,648570
std,經,646584
std,身,635454
std,五,635128
std,切,624341
std,子,604329
std,善,596893
std,謂,585249
std,因,584122
std,至,580972
std,緣,571684
std,處,566543
std,第,565788
std,智,562325
std,天,556437
std,成,554311
std,可,548818
std,應,546771
std,在,538584
std,界,537164
std,性,532250
std,彼,530946
std,種,523853
std,淨,521986
std,出,521046
std,分,517127
std,義,516798
std,地,515052
std,問,507436
std,前,502874
std,今,502410
std,羅,501307
std,空,500641
std,後,500379
std,正,493710
std,別,492970
std,與,484463
std,門,478942
std,則,474385
std,初,466186
std,方,460781
std,已,458721
std,事,458477
std,受,456884
std,僧,447425
std,皆,445597
std,王,441530
std,然,434299
std,入,433092
std,本,430758
std,又,430361
std,住,428110
std,六,425583
std,觀,425127
std,意,424944
std,當,423152
std,同,416123
std,文,414107
std,多,409329
std,山,402437
std,未,394429
std,色,394303
std,修,393326
std,依,392328
std,解,392065
std,日,390247
std,復,387831
std,起,386656
std,識,384165
std,現,379945
std,釋,377767
std,真,376574
std,從,373430
std,乃,373355
std,聞,372877
std,欲,369828
std,及,358600
std,論,354472
std,念,352887
std,八,345931
std,滅,344685
std,實,343230
std,教,341649
std,離,340409
std,便,340283
std,或,338801
std,定,338522
std,果,333400
std,隨,331886
std,常,330040
std,通,329855
std,德,328592
std,根,323331
std,七,319304
std,次,310849
std,尊,309383
std,比,304590
std,令,303005
std,覺,298685
std,由,294041
std,清,289809
std,業,288426
std,去,287725
std,提,287254
std,禪,284310
std,具,284262
std,阿,283724
std,異,283572
std,難,283178
std,戒,282480
std,斷,282136
std,用,282134
std,他,279734
std,樂,275384
std,丘,272652
std,語,271676
std,合,269978
std,持,268768
std,體,267420
std,苦,266773
std,利,264330
std,汝,261521
std,光,260309
std,間,257749
std,摩,257018
std,盡,255857
std,過,255671
std,理,254919
std,聲,252563
std,量,249602
std,乘,248691
std,慧,244910
std,力,240075
std,外,239699
std,答,238401
std,年,237794
std,聖,236044
std,餘,236027
std,取,234036
std,南,232868
std,百,232771
std,勝,232007
std,長,229048
std,句,228204
std,發,225758
std,立,224260
std,千,223740
std,爾,222885
std,麼,221452
std,安,221063
std,寶,220628
std,波,220026
std,華,219780
std,家,219708
std,思,218976
std,反,218645
std,惡,218434
std,金,217300
std,雖,217095
std,唯,216483
std,化,215948
std,水,213373
std,學,212020
std,藏,211704
std,耶,211600
std,妙,211470
std,月,211195
std,轉,211003
std,須,210681
std,境,209681
std,證,207238
std,著,206935
std,但,206294
std,死,205789
std,九,205695
std,眼,205199
std,神,205066
std,足,204863
std,信,204852
std,顯,203117
std,向,201980
std,先,199560
std,重,199339
std,卷,199274
std,國,198204
std,食,197261
std,白,195437
std,了,195246
std,想,194560
std,願,194401
std,和,193986
std,圓,192354
std,開,192283
std,那,190330
std,結,189523
std,求,189073
std,頭,188976
std,俱,188741
std,音,188613
std,萬,188519
std,既,187756
std,示,186048
std,廣,184465
std,破,180875
std,攝,180223
std,施,179904
std,會,179687
std,物,175829
std,對,175758
std,就,173804
std,字,171595
std,尼,171503
std,脫,171322
std,引,170846
std,小,170183
std,宗,169681
std,內,169159
std,陀,168690
std,深,168124
std,數,167731
std,捨,166893
std,沙,166527
std,婆,166358
std,度,164120
std,嚴,164074
std,品,162497
std,還,161821
std,功,161356
std,衣,160185
std,舉,159998
std,各,155384
std,主,154791
std,流,154790
std,位,154703
std,雲,153750
std,老,153422
std,般,152608
std,海,152568
std,諦,151541
std,喜,150285
std,舍,150099
std,歸,150072
std,妄,149632
std,命,149137
std,風,149075
std,迦,148699
std,土,148100
std,惱,148047
std,甚,147807
std,居,147354
std,更,146957
std,滿,146280
std,將,145169
std,堂,145152
std,尚,144830
std,香,144688
std,情,144164
std,報,143568
std,請,143330
std,總,142836
std,槃,141986
std,塵,140378
std,執,140236
std,寺,139682
std,坐,138110
std,涅,136688
std,進,135806
std,增,135729
std,往,135608
std,集,135361
std,普,134618
std,使,134428
std,共,134091
std,記,133460
std,夫,132775
std,除,132489
std,悉,132399
std,女,132182
std,手,131470
std,動,131385
std,訶,130904
std,罪,129630
std,必,129151
std,止,128812
std,遠,128721
std,西,127806
std,邊,127689
std,愛,126786
std,古,126732
std,竟,126636
std,約,126430
std,悟,125821
std,福,125461
std,耳,125074
std,供,124916
std,祖,124831
std,禮,124402
std,士,124236
std,終,123885
std,兩,122983
std,高,122646
std,失,122505
std,指,121805
std,且,121679
std,矣,120462
std,凡,120412
std,漏,119829
std,要,119457
std,蜜,119399
std,猶,118970
std,稱,117515
std,養,117515
std,少,117227
std,梵,116792
std,寂,116676
std,疑,116285
std,照,116147
std,火,115926
std,平,115874
std,始,114260
std,到,113847
std,龍,113757
std,益,113533
std,煩,113074
std,夜,113049
std,達,113012
std,座,112643
std,變,111346
std,伽,110641
std,護,110501
std,喻,110368
std,習,110106
std,彌,109804
std,頌,109372
std,傳,109328
std,犯,109131
std,州,109128
std,慈,108736
std,莫,108450
std,精,107968
std,遍,107920
std,劫,107284
std,疏,107074
std,極,106231
std,染,106152
std,偈,106146
std,類,105944
std,輪,105564
std,親,104730
std,障,103811
std,直,103518
std,好,102683
std,公,102139
std,差,102100
std,微,101868
std,最,101445
std,口,101208
std,昧,100898
std,病,100537
std,惟,99872
std,目,99710
std,順,99621
std,豈,98937
std,悲,98918
std,靜,98807
std,林,98712
std,東,98391
std,殊,97897
std,樹,97868
std,觸,97325
std,趣,97214
std,形,96781
std,似,96653
std,貪,95450
std,聽,95399
std,虛,95019
std,首,94654
std,書,94625
std,漢,94306
std,機,93694
std,部,93609
std,忍,93586
std,斯,93222
std,造,92082
std,元,91942
std,母,91817
std,的,91571
std,壞,91269
std,賢,90955
std,邪,89517
std,乎,89398
std,律,89345
std,城,89183
std,礙,89118
std,男,88875
std,石,88811
std,久,88647
std,壽,87938
std,告,87698
std,假,87599
std,帝,87471
std,花,86741
std,剛,86662
std,剎,86141
std,譬,86018
std,面,85240
std,放,84498
std,略,84398
std,誦,84247
std,近,84134
std,敬,83385
std,獨,82956
std,加,82954
std,惑,82699
std,許,82090
std,治,81737
std,吾,81472
std,支,81351
std,計,80956
std,屬,80946
std,退,80568
std,弟,80336
std,俗,79385
std,全,79276
std,太,79115
std,頂,78659
std,布,78420
std,譯,77725
std,父,76803
std,遂,76550
std,印,76419
std,己,75431
std,于,74543
std,箇,74098
std,曾,73807
std,莊,73672
std,息,73668
std,密,73628
std,落,73533
std,裏,73485
std,陰,72808
std,參,72524
std,伏,72300
std,誰,71396
std,殺,71352
std,靈,71315
std,尋,71224
std,魔,71199
std,議,70922
std,迷,70892
std,像,70778
std,底,70714
std,打,70375
std,路,70013
std,違,69670
std,絕,68623
std,只,68564
std,蘊,68194
std,設,68182
std,被,68104
std,興,67956
std,味,67844
std,看,67494
std,奉,67385
std,玄,67303
std,墮,67297
std,半,67135
std,葉,66509
std,並,66278
std,藥,65870
std,易,65730
std,儀,65351
std,昔,64869
std,倒,64800
std,辨,64539
std,永,64523
std,熟,64390
std,都,64385
std,木,64366
std,哉,64257
std,虗,64171
std,周,63506
std,究,63226
std,末,63154
std,散,63053
std,表,62951
std,威,62868
std,氣,62772
std,決,62616
std,聚,62382
std,錄,61973
std,際,61715
std,志,61582
std,讚,61427
std,雨,61310
std,覆,61300
std,黃,61114
std,新,60946
std,隱,60403
std,塔,59938
std,馬,59887
std,畢,59672
std,迴,59626
std,草,59531
std,號,59211
std,亂,59197
std,却,58991
std,河,58848
std,輕,58684
std,徧,58650
std,望,58534
std,某,58482
std,雜,58380
std,宿,58221
std,鬼,58177
std,建,57984
std,這,57974
std,夢,57929
std,磨,57825
std,感,57742
std,遊,57669
std,恒,57419
std,北,57379
std,蓮,57366
std,獄,57255
std,財,57153
std,制,56954
std,歲,56886
std,歡,56361
std,右,56118
std,授,55770
std,杖,55753
std,愚,55571
std,畏,55299
std,燈,54861
std,遮,54458
std,標,54293
std,勤,54285
std,繫,54282
std,鉢,54251
std,歎,54147
std,祇,53939
std,續,53908
std,蓋,53835
std,幻,53830
std,漸,53776
std,鼻,53759
std,青,53725
std,象,53669
std,旨,53494
std,露,53286
std,毘,53263
std,癡,53219
std,臨,52922
std,雪,52748
std,細,52503
std,待,52432
std,超,52298
std,齊,52136
std,牛,51904
std,里,51589
std,幾,51464
std,雙,51429
std,濟,51383
std,頓,51261
std,章,51181
std,含,51162
std,囉,50817
std,窮,50807
std,權,50731
std,沒,50680
std,堅,50335
std,你,50243
std,室,49950
std,忽,49452
std,宣,49449
std,況,49385
std,慮,49262
std,端,49192
std,容,48872
std,影,48768
std,舌,48739
std,任,48393
std,承,48350
std,述,48175
std,丈,48045
std,致,48008
std,宮,47894
std,獲,47454
std,吉,47393
std,珠,47330
std,調,47267
std,悔,47166
std,勸,47164
std,害,46653
std,喝,46626
std,陽,46560
std,良,46549
std,拈,46509
std,舊,46464
std,忘,46297
std,節,46127
std,春,45906
std,氏,45795
std,存,45790
std,縛,45747
std,瞋,45534
std,徒,45529
std,互,45457
std,越,45434
std,朝,45191
std,置,45141
std,乞,45021
std,笑,45009
std,守,44981
std,遇,44978
std,宜,44895
std,特,44874
std,焉,44804
std,眠,44601
std,恩,44586
std,唐,44468
std,代,44291
std,甲,44174
std,童,44121
std,江,44087
std,什,44078
std,恐,44063
std,兒,43896
std,无,43845
std,君,43603
std,拜,43404
std,呪,43378
std,資,43363
std,飲,43184
std,演,43150
std,殿,43057
std,慢,43028
std,據,42922
std,器,42690
std,億,42633
std,垢,42567
std,翻,42539
std,燒,42287
std,峰,41935
std,回,41915
std,疾,41825
std,遣,41379
std,列,41358
std,察,41186
std,毛,41052
std,服,40857
std,憂,40830
std,浮,40730
std,消,40637
std,場,40250
std,序,40154
std,寒,40115
std,臣,40070
std,優,40032
std,侍,39989
std,野,39962
std,懷,39588
std,辯,39500
std,固,39365
std,源,39259
std,左,39178
std,田,39155
std,弗,39141
std,毒,38966
std,仁,38894
std,橫,38860
std,留,38779
std,怖,38689
std,厭,38554
std,兼,38497
std,檀,38420
std,救,38359
