char;	count;	type,std_chars
麁;	17720;	2,麤
葢;	15312;	2,蓋
羣;	14297;	2,群,2,群
䟽;	9541;	2,疏
着;	9063;	2,著
儞;	8921;	2,你
疎;	8857;	2,疏
断;	8035;	2,斷
乗;	7443;	2,乘
盖;	6999;	2,蓋
劒;	6674;	2,劍
烟;	6409;	2,煙
决;	6160;	2,決,4,決
你;	5702;	2,你,2,你,4,你,4,你
徃;	5469;	2,往
妬;	5373;	2,妒,4,妒
䟦;	4767;	2,跋
况;	4701;	2,況,2,況,4,況
逈;	4352;	2,迥
个;	4159;	2,個
䇿;	3822;	2,策
凉;	3795;	2,涼
脇;	3735;	2,脅
輙;	3694;	2,輒
躰;	3642;	2,體
䭾;	3594;	2,馱,4,馱
揔;	3463;	2,總;摠
畧;	3355;	2,略
鈎;	3123;	2,鉤,4,鉤
脉;	3120;	2,脈
踈;	2798;	2,疏,4,疏
㵎;	2695;	2,澗
隂;	2663;	2,陰
刧;	2599;	2,劫
煑;	2577;	2,煮
呌;	2576;	2,叫
栢;	2550;	2,柏
𡰱;	2542;	2,尼,4,尼
尅;	2515;	2,剋
携;	2493;	2,攜
冲;	2396;	2,沖;衝,4,沖
凢;	2370;	2,凡,4,凡
畵;	2337;	2,畫
熈;	2286;	2,熙
恠;	2266;	2,怪
厨;	2257;	2,廚
鎻;	2230;	2,鎖
粮;	2187;	2,糧
灾;	2122;	2,災
惣;	2036;	2,總
刼;	2016;	2,劫
頴;	1964;	2,穎
顕;	1958;	2,顯
揑;	1956;	2,捏
𢙉;	1955;	2,惱,4,惱
圎;	1940;	2,圓
属;	1932;	2,屬,4,屬
棃;	1930;	2,梨,4,梨
趂;	1916;	2,趁,4,趁
随;	1837;	2,隨
舎;	1835;	2,舍
𦘕;	1834;	2,畫,4,畫
乱;	1820;	2,亂
㒵;	1817;	2,貌
来;	1704;	2,來
剏;	1682;	2,創;刱,2,創
輭;	1659;	2,軟;輀,4,軟
胷;	1611;	2,胸
义;	1591;	2,叉;義,4,叉
寳;	1571;	2,寶,2,寶
耻;	1567;	2,恥
𨁝;	1531;	2,蹦
葱;	1523;	2,蔥,4,蔥
𨿽;	1479;	2,雖,4,雖
𠔃;	1453;	2,兮,4,兮
緫;	1434;	2,總;𦇎
惒;	1432;	2,和,4,和
煗;	1422;	2,暖;煖
𥁞;	1412;	2,盡;𧗁,4,盡
欵;	1397;	2,款
踪;	1396;	2,蹤
恱;	1388;	2,悅
碍;	1328;	2,礙
畆;	1300;	2,畝
囙;	1270;	2,因
减;	1266;	2,減
皃;	1247;	2,兒;完;貌
頼;	1246;	2,賴,4,賴
廼;	1245;	2,乃;迺
